# ppt,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
1993-12T00:00:00Z,-8.064516129,0,0
1994-01T00:00:00Z,-17,0,0
1994-02T00:00:00Z,-13.25925926,0,0
1994-03T00:00:00Z,-6.709677419,0,0
1994-04T00:00:00Z,0.2,0,0
1994-05T00:00:00Z,4.096774194,0,0
1994-06T00:00:00Z,11.46666667,0,0
1994-07T00:00:00Z,15.5483871,0,0
1994-08T00:00:00Z,11.92592593,0,0
1994-09T00:00:00Z,4.233333333,0,0
1994-10T00:00:00Z,1.7,0,0
1994-11T00:00:00Z,-3.130434783,0,0
1994-12T00:00:00Z,-7.291666667,0,0
1995-01T00:00:00Z,-7.642857143,0,0
1995-02T00:00:00Z,-12.0952381,0,0
1995-03T00:00:00Z,-3.423076923,0,0
1995-04T00:00:00Z,-3,0,0
1995-05T00:00:00Z,4,0,0
1995-06T00:00:00Z,6.947368421,0,0
1995-07T00:00:00Z,11.03846154,0,0
1995-08T00:00:00Z,10.32258065,0,0
1995-09T00:00:00Z,4.233333333,0,0
1995-10T00:00:00Z,-2,0,0
1995-11T00:00:00Z,-4.857142857,0,0
1995-12T00:00:00Z,-3.266666667,0,0
1996-01T00:00:00Z,-9.523809524,0,0
1996-02T00:00:00Z,-12.57142857,0,0
1996-03T00:00:00Z,-7.931034483,0,0
1996-04T00:00:00Z,-2.222222222,0,0
1996-05T00:00:00Z,4.483870968,0,0
1996-06T00:00:00Z,12.26666667,0,0
1996-07T00:00:00Z,13.58064516,0,0
1996-08T00:00:00Z,14.72413793,0,0
1996-09T00:00:00Z,9.4,0,0
1996-10T00:00:00Z,1.379310345,0,0
1996-11T00:00:00Z,-4.857142857,0,0
1996-12T00:00:00Z,-3.266666667,0,0
1997-01T00:00:00Z,-13.06896552,0,0
1997-02T00:00:00Z,-10.52173913,0,0
1997-03T00:00:00Z,-6.708333333,0,0
1997-04T00:00:00Z,-1.142857143,0,0
1997-05T00:00:00Z,4.368421053,0,0
1997-06T00:00:00Z,10.76666667,0,0
1997-07T00:00:00Z,12.77419355,0,0
1997-08T00:00:00Z,12.13333333,0,0
1997-09T00:00:00Z,7.689655172,0,0
1997-10T00:00:00Z,1,0,0
1997-11T00:00:00Z,-4.366666667,0,0
1997-12T00:00:00Z,-8,0,0
1998-01T00:00:00Z,-8.580645161,0,0
1998-02T00:00:00Z,-8.923076923,0,0
1998-03T00:00:00Z,-5.56,0,0
1998-04T00:00:00Z,-0.566666667,0,0
1998-05T00:00:00Z,7,0,0
1998-06T00:00:00Z,10.51724138,0,0
